,region,type of household,contents,year,value
4232,Ibestad (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,1
4233,Ibestad (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,3
4234,Ibestad (-2019),Other housesholds,Households,2019,0
4235,Gratangen (-2019),Living alone,Households,2019,237
4236,Gratangen (-2019),Couple without resident children,Households,2019,116
4237,Gratangen (-2019),Couple with small children (youngest child 0-5 years),Households,2019,25
4238,Gratangen (-2019),Couple with older children (youngest child 6-17 years),Households,2019,38
4239,Gratangen (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,6
4240,Gratangen (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,21
4241,Gratangen (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,52
4242,Gratangen (-2019),Two or more-family households without resident children 0-17 years,Households,2019,22
4243,Gratangen (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
4244,Gratangen (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,7
4245,Gratangen (-2019),Other housesholds,Households,2019,0
4246,Loabák - Lavangen (-2019),Living alone,Households,2019,149
4247,Loabák - Lavangen (-2019),Couple without resident children,Households,2019,101
4248,Loabák - Lavangen (-2019),Couple with small children (youngest child 0-5 years),Households,2019,32
4249,Loabák - Lavangen (-2019),Couple with older children (youngest child 6-17 years),Households,2019,38
4250,Loabák - Lavangen (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,5
4251,Loabák - Lavangen (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,27
4252,Loabák - Lavangen (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,48
4253,Loabák - Lavangen (-2019),Two or more-family households without resident children 0-17 years,Households,2019,26
4254,Loabák - Lavangen (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
4255,Loabák - Lavangen (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,7
4256,Loabák - Lavangen (-2019),Other housesholds,Households,2019,0
4257,Bardu (-2019),Living alone,Households,2019,755
4258,Bardu (-2019),Couple without resident children,Households,2019,455
4259,Bardu (-2019),Couple with small children (youngest child 0-5 years),Households,2019,170
4260,Bardu (-2019),Couple with older children (youngest child 6-17 years),Households,2019,199
4261,Bardu (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,16
4262,Bardu (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,50
4263,Bardu (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,128
4264,Bardu (-2019),Two or more-family households without resident children 0-17 years,Households,2019,62
4265,Bardu (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,7
4266,Bardu (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,10
4267,Bardu (-2019),Other housesholds,Households,2019,0
4268,Salangen (1977-2019),Living alone,Households,2019,422
4269,Salangen (1977-2019),Couple without resident children,Households,2019,250
4270,Salangen (1977-2019),Couple with small children (youngest child 0-5 years),Households,2019,62
4271,Salangen (1977-2019),Couple with older children (youngest child 6-17 years),Households,2019,93
4272,Salangen (1977-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,6
4273,Salangen (1977-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,36
4274,Salangen (1977-2019),One family households with adult children (youngest child 18 years and over,Households,2019,85
4275,Salangen (1977-2019),Two or more-family households without resident children 0-17 years,Households,2019,44
4276,Salangen (1977-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
4277,Salangen (1977-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,10
4278,Salangen (1977-2019),Other housesholds,Households,2019,0
4279,Målselv (-2019),Living alone,Households,2019,1200
4280,Målselv (-2019),Couple without resident children,Households,2019,765
4281,Målselv (-2019),Couple with small children (youngest child 0-5 years),Households,2019,265
4282,Målselv (-2019),Couple with older children (youngest child 6-17 years),Households,2019,304
4283,Målselv (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,33
4284,Målselv (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,103
4285,Målselv (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,279
4286,Målselv (-2019),Two or more-family households without resident children 0-17 years,Households,2019,91
4287,Målselv (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,17
4288,Målselv (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,21
4289,Målselv (-2019),Other housesholds,Households,2019,0
4290,Sørreisa (-2019),Living alone,Households,2019,562
4291,Sørreisa (-2019),Couple without resident children,Households,2019,388
4292,Sørreisa (-2019),Couple with small children (youngest child 0-5 years),Households,2019,127
4293,Sørreisa (-2019),Couple with older children (youngest child 6-17 years),Households,2019,156
4294,Sørreisa (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,17
4295,Sørreisa (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,61
4296,Sørreisa (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,135
4297,Sørreisa (-2019),Two or more-family households without resident children 0-17 years,Households,2019,54
4298,Sørreisa (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
4299,Sørreisa (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,16
4300,Sørreisa (-2019),Other housesholds,Households,2019,0
4301,Dyrøy (-2019),Living alone,Households,2019,254
4302,Dyrøy (-2019),Couple without resident children,Households,2019,125
4303,Dyrøy (-2019),Couple with small children (youngest child 0-5 years),Households,2019,27
4304,Dyrøy (-2019),Couple with older children (youngest child 6-17 years),Households,2019,48
4305,Dyrøy (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,5
4306,Dyrøy (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,16
4307,Dyrøy (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,58
4308,Dyrøy (-2019),Two or more-family households without resident children 0-17 years,Households,2019,14
4309,Dyrøy (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
4310,Dyrøy (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,4
4311,Dyrøy (-2019),Other housesholds,Households,2019,0
4312,Tranøy (-2019),Living alone,Households,2019,276
4313,Tranøy (-2019),Couple without resident children,Households,2019,206
4314,Tranøy (-2019),Couple with small children (youngest child 0-5 years),Households,2019,53
4315,Tranøy (-2019),Couple with older children (youngest child 6-17 years),Households,2019,54
4316,Tranøy (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,5
4317,Tranøy (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,25
4318,Tranøy (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,52
4319,Tranøy (-2019),Two or more-family households without resident children 0-17 years,Households,2019,26
4320,Tranøy (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
4321,Tranøy (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,3
4322,Tranøy (-2019),Other housesholds,Households,2019,0
4323,Torsken (-2019),Living alone,Households,2019,205
4324,Torsken (-2019),Couple without resident children,Households,2019,119
4325,Torsken (-2019),Couple with small children (youngest child 0-5 years),Households,2019,26
4326,Torsken (-2019),Couple with older children (youngest child 6-17 years),Households,2019,32
4327,Torsken (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,4
